Accession,Release_Date,Pangolin,PangoVersions,Random_Sampling,Isolate,Species,Length,Nuc_Completeness,Genotype,Geo_Location,USA,Host,Isolation_Source,Collection_Date
ON896680,2022-07-01,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,OR-CDC-LC0723581,Severe acute respiratory syndrome-related coronavirus,29693,complete,,USA: Oregon,OR,Homo sapiens,oronasopharynx,2022-06-17
OP229710,2022-08-16,BA.4.4,4.3.1/1.23.1/v0.1.12/0.3.19,true,TX-CDC-QDX39706873,Severe acute respiratory syndrome-related coronavirus,29709,complete,,USA: Texas,TX,Homo sapiens,oronasopharynx,2022-08-01
OM389644,2022-01-25,AY.103,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-2-5234152,Severe acute respiratory syndrome-related coronavirus,29836,complete,,USA: CA,CA,Homo sapiens,,2021-11-01
ON717750,2022-06-09,BA.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-STM-DUGFC8B3X,Severe acute respiratory syndrome-related coronavirus,29849,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2022-05-27
OQ456662,2023-02-20,BA.5.2.23,4.3.1/1.23.1/v0.1.12/0.3.19,true,IL-CDC-VSX-A073359,Severe acute respiratory syndrome-related coronavirus,29816,complete,,USA: Illinois,IL,Homo sapiens,,2023-02-02
OQ382181,2023-02-06,BQ.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,NC-CDC-QDX45862833,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: North Carolina,NC,Homo sapiens,oronasopharynx,2023-01-18
MW286735,2020-11-23,B.1,4.3.1/1.23.1/v0.1.12/0.3.19,,FL-BPHL-1967,Severe acute respiratory syndrome-related coronavirus,29834,complete,,USA: FL,FL,Homo sapiens,,2020-04-14
MZ287830,2021-05-25,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,,GA-GPHL-0368,Severe acute respiratory syndrome-related coronavirus,29848,complete,,USA: GA,GA,Homo sapiens,,2021-03-15
MZ228673,2021-05-19,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-STM-000065874,Severe acute respiratory syndrome-related coronavirus,29797,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2021-04-27
OL777960,2021-12-09,AY.75,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-ASC210486859,Severe acute respiratory syndrome-related coronavirus,29811,complete,,USA: Florida,FL,Homo sapiens,,2021-11-19
ON612861,2022-05-26,AY.47,4.3.1/1.23.1/v0.1.12/0.3.19,true,NM-UNM-TRL_4D2021_285,Severe acute respiratory syndrome-related coronavirus,29701,complete,,USA: New Mexico,NM,Homo sapiens,,2021-12-16
ON851816,2022-06-27,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,AZ-CDC-STM-3S7XDNK96,Severe acute respiratory syndrome-related coronavirus,29850,complete,,USA: Arizona,AZ,Homo sapiens,oronasopharynx,2022-06-07
OM158976,2022-01-06,AY.107,4.3.1/1.23.1/v0.1.12/0.3.19,true,UT-CDC-2-5313644,Severe acute respiratory syndrome-related coronavirus,29848,complete,,USA: UT,UT,Homo sapiens,,2021-11-23
OP519136,2022-09-24,BA.5.2.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,WI-CDC-LC0882391,Severe acute respiratory syndrome-related coronavirus,29657,complete,,USA: Wisconsin,WI,Homo sapiens,oronasopharynx,2022-09-07
OM810926,2022-02-24,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,AR-CDC-QDX33680654,Severe acute respiratory syndrome-related coronavirus,29744,complete,,USA: Arkansas,AR,Homo sapiens,oronasopharynx,2022-02-07
ON851715,2022-06-27,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-STM-V5UVHPU8M,Severe acute respiratory syndrome-related coronavirus,29850,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-06-06
OP335147,2022-08-30,BA.5.1.22,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-LC0850264,Severe acute respiratory syndrome-related coronavirus,29720,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-08-18
MW891941,2021-04-09,B.1.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,MA-CDC-ASC210012855,Severe acute respiratory syndrome-related coronavirus,29868,complete,,USA: Massachusetts,MA,Homo sapiens,,2021-03-20
OP268858,2022-08-21,BA.5.2,4.3.1/1.23.1/v0.1.12/0.3.19,,CO-CDPHE-2103459952,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA,,Homo sapiens,,2022-07-03
OM457154,2022-01-31,AY.39,4.3.1/1.23.1/v0.1.12/0.3.19,,MN-MDH-21468,Severe acute respiratory syndrome-related coronavirus,29764,complete,,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2022-01-17
MZ164310,2021-05-11,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,TX-CDC-STM-000062131,Severe acute respiratory syndrome-related coronavirus,29811,complete,,USA: Texas,TX,Homo sapiens,oronasopharynx,2021-04-22
ON092824,2022-03-29,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-BPHL-4323,Severe acute respiratory syndrome-related coronavirus,29758,complete,,USA: FL,FL,Homo sapiens,,2022-03-01
MW967926,2021-04-20,B.1.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,TN-CDC-ASC210011461,Severe acute respiratory syndrome-related coronavirus,29886,complete,,USA: Tennessee,TN,Homo sapiens,oronasopharynx,2021-03-18
OM625428,2022-02-09,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,NC-CDC-LC0508729,Severe acute respiratory syndrome-related coronavirus,29686,complete,,USA: North Carolina,NC,Homo sapiens,oronasopharynx,2022-01-25
MW680576,2021-03-01,B.1.1.416,4.3.1/1.23.1/v0.1.12/0.3.19,true,PA-CDC-QDX22019265,Severe acute respiratory syndrome-related coronavirus,29782,complete,,USA: Pennsylvania,PA,Homo sapiens,oronasopharynx,2021-02-12
MW523984,2021-01-26,B.1,4.3.1/1.23.1/v0.1.12/0.3.19,,ND-NDDH-0034,Severe acute respiratory syndrome-related coronavirus,29822,complete,,USA: North Dakota,ND,Homo sapiens,oronasopharynx,2020-03-24
OL764646,2021-12-08,AY.103,4.3.1/1.23.1/v0.1.12/0.3.19,,MN-MDH-17789,Severe acute respiratory syndrome-related coronavirus,29764,complete,,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-11-07
ON679190,2022-06-06,BA.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,MI-CDC-QDX37056454,Severe acute respiratory syndrome-related coronavirus,29724,complete,,USA: Michigan,MI,Homo sapiens,oronasopharynx,2022-05-16
OM564163,2022-02-07,BA.1.15,4.3.1/1.23.1/v0.1.12/0.3.19,true,NJ-CDC-ASC210540817,Severe acute respiratory syndrome-related coronavirus,29792,complete,,USA: New Jersey,NJ,Homo sapiens,,2022-01-22
ON925498,2022-07-05,BA.2.36,4.3.1/1.23.1/v0.1.12/0.3.19,true,SC-CDC-QDX37009155,Severe acute respiratory syndrome-related coronavirus,29724,complete,,USA: South Carolina,SC,Homo sapiens,oronasopharynx,2022-05-13
OM337302,2022-01-21,BA.1.15,4.3.1/1.23.1/v0.1.12/0.3.19,true,GA-CDC-MMB12517581,Severe acute respiratory syndrome-related coronavirus,29770,complete,,USA: Georgia,GA,Homo sapiens,oronasopharynx,2021-12-28
OP880847,2022-11-22,BA.5.2.1,4.3.1/1.23.1/v0.1.12/0.3.19,,MA-MASPHL-12017,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA,,Homo sapiens,oronasopharynx,2022-07-24
OM626746,2022-02-09,BA.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,PA-CDC-LC0509916,Severe acute respiratory syndrome-related coronavirus,29653,complete,,USA: Pennsylvania,PA,Homo sapiens,oronasopharynx,2022-01-26
MZ237762,2021-05-20,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,IN-CDC-STM-000067777,Severe acute respiratory syndrome-related coronavirus,29813,complete,,USA: Indiana,IN,Homo sapiens,oronasopharynx,2021-05-03
OL754357,2021-12-07,AY.44,4.3.1/1.23.1/v0.1.12/0.3.19,true,PA-CDC-MMB11444413,Severe acute respiratory syndrome-related coronavirus,29787,complete,,USA: Pennsylvania,PA,Homo sapiens,oronasopharynx,2021-11-04
OP788301,2022-11-08,BA.5.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,WA-CDC-UW22102475795,Severe acute respiratory syndrome-related coronavirus,29669,complete,,USA: Washington,WA,Homo sapiens,oronasopharynx,2022-10-24
OR320031,2023-07-20,B.1.3,4.3.1/1.23.1/v0.1.12/0.3.19,,Mayo21895,Severe acute respiratory syndrome-related coronavirus,29813,complete,,USA,,Homo sapiens,,2020-06-08
ON454832,2022-05-09,BA.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,MA-MGB-05699,Severe acute respiratory syndrome-related coronavirus,29748,complete,,USA: Massachusetts,MA,Homo sapiens,,2022-04-26
MZ196100,2021-05-14,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,MI-CDC-ASC210032028,Severe acute respiratory syndrome-related coronavirus,29870,complete,,USA: Michigan,MI,Homo sapiens,,2021-04-24
OM831564,2022-02-25,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,OH-CDC-QDX33832485,Severe acute respiratory syndrome-related coronavirus,29747,complete,,USA: Ohio,OH,Homo sapiens,oronasopharynx,2022-02-09
MZ377920,2021-06-12,B.1.1.416,4.3.1/1.23.1/v0.1.12/0.3.19,,CA-CZB-33571,Severe acute respiratory syndrome-related coronavirus,29815,complete,,"USA: CA, San Luis Obispo County",CA,Homo sapiens,,2020-09-29
MZ456557,2021-06-28,B.1.2,4.3.1/1.23.1/v0.1.12/0.3.19,,MD-MDH-2760,Severe acute respiratory syndrome-related coronavirus,29836,complete,,USA: MD,MD,Homo sapiens,oronasopharynx,2021-01-06
OP772819,2022-11-03,BA.4.6,4.3.1/1.23.1/v0.1.12/0.3.19,true,TX-CDC-QDX42413417,Severe acute respiratory syndrome-related coronavirus,29709,complete,,USA: Texas,TX,Homo sapiens,oronasopharynx,2022-10-07
OM645422,2022-02-10,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,NC-CDC-MMB13634213,Severe acute respiratory syndrome-related coronavirus,29770,complete,,USA: North Carolina,NC,Homo sapiens,oronasopharynx,2022-01-18
MZ074527,2021-05-03,B.1.427,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-ASC210043109,Severe acute respiratory syndrome-related coronavirus,29880,complete,,USA: Florida,FL,Homo sapiens,,2021-04-02
OP619027,2022-10-12,BA.5.5,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-QDX41638802,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2022-09-19
OR673187,2023-10-15,GE.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,MN-CDC-VSX-A09984,Severe acute respiratory syndrome-related coronavirus,29844,complete,,USA: Minnesota,MN,Homo sapiens,swab,2023-09-29
ON661603,2022-06-02,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,,OH-UHTL-2356,Severe acute respiratory syndrome-related coronavirus,29850,complete,,USA: Ohio,OH,Homo sapiens,oronasopharynx,2022-05-11
OP910623,2022-11-29,BA.5.2.23,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-STM-W5W2QUPSD,Severe acute respiratory syndrome-related coronavirus,29842,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-11-09
OP770035,2022-11-03,BA.5,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDPH-500076615,Severe acute respiratory syndrome-related coronavirus,29758,complete,,USA,,Homo sapiens,,2022-08-29
OP144743,2022-08-04,BA.5.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,KY-CDC-LC0800182,Severe acute respiratory syndrome-related coronavirus,29720,complete,,USA: Kentucky,KY,Homo sapiens,oronasopharynx,2022-07-19
MZ834946,2021-08-19,AY.44,4.3.1/1.23.1/v0.1.12/0.3.19,,UT-UPHL-210806463300,Severe acute respiratory syndrome-related coronavirus,29817,complete,,USA,,Homo sapiens,,2021-07-22
ON451554,2022-05-09,BA.2.3,4.3.1/1.23.1/v0.1.12/0.3.19,true,MN-CDC-QDX36066096,Severe acute respiratory syndrome-related coronavirus,29724,complete,,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2022-04-18
OL733199,2021-12-06,AY.103,4.3.1/1.23.1/v0.1.12/0.3.19,true,MN-CDC-ASC210458984,Severe acute respiratory syndrome-related coronavirus,29816,complete,,USA: Minnesota,MN,Homo sapiens,,2021-11-12
ON601165,2022-05-25,B.1.473,4.3.1/1.23.1/v0.1.12/0.3.19,,NMINBRE-ILLUMINA-WGS-182677,Severe acute respiratory syndrome-related coronavirus,29829,complete,,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-05-07
OP754450,2022-11-02,BA.4.6,4.3.1/1.23.1/v0.1.12/0.3.19,true,IN-CDC-LC0918776,Severe acute respiratory syndrome-related coronavirus,29678,complete,,USA: Indiana,IN,Homo sapiens,oronasopharynx,2022-10-18
OP982778,2022-12-09,BF.31.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-QDX43797109,Severe acute respiratory syndrome-related coronavirus,29715,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2022-11-18
OQ193005,2023-01-06,AY.25,4.3.1/1.23.1/v0.1.12/0.3.19,,WI-UW-5588,Severe acute respiratory syndrome-related coronavirus,29769,complete,,"USA: Wisconsin, Columbia County",WI,Homo sapiens,oronasopharynx,2021-08-13
MZ491331,2021-07-02,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,TX-CDC-QDX25806202,Severe acute respiratory syndrome-related coronavirus,29763,complete,,USA: Texas,TX,Homo sapiens,oronasopharynx,2021-06-12
OR563852,2023-09-17,HG.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,2333933,Severe acute respiratory syndrome-related coronavirus,29706,complete,,USA: IA,IA,Homo sapiens,,2023-09-05
OL888491,2021-12-17,AY.103,4.3.1/1.23.1/v0.1.12/0.3.19,true,MD-CDC-ASC210488273,Severe acute respiratory syndrome-related coronavirus,29810,complete,,USA: Maryland,MD,Homo sapiens,,2021-11-19
OK548544,2021-10-18,B.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,SEARCH-102044,Severe acute respiratory syndrome-related coronavirus,29598,complete,,"USA: California,San Diego",CA,Homo sapiens,oronasopharynx,2020-07-03
OM669161,2022-02-14,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,WI-CDC-FG-267629,Severe acute respiratory syndrome-related coronavirus,29795,complete,,USA: Wisconsin,WI,Homo sapiens,oronasopharynx,2022-02-03
OL722570,2021-12-06,AY.3,4.3.1/1.23.1/v0.1.12/0.3.19,,CO-CDPHE-2102051374,Severe acute respiratory syndrome-related coronavirus,29811,complete,,USA,,Homo sapiens,,2021-10-19
ON199832,2022-04-10,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,MA-Broad-CRSP_O32WQ6EGKJNYCGKL,Severe acute respiratory syndrome-related coronavirus,29827,complete,,USA: Massachusetts,MA,Homo sapiens,,2022-03-29
ON067569,2022-03-25,B.1.240,4.3.1/1.23.1/v0.1.12/0.3.19,,SD-INBRE-0874,Severe acute respiratory syndrome-related coronavirus,29777,complete,,USA: South Dakota,SD,Homo sapiens,oronasopharynx,2020
MW844331,2021-04-01,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,TX-CDC-STM-000026043,Severe acute respiratory syndrome-related coronavirus,29853,complete,,USA: Texas,TX,Homo sapiens,oronasopharynx,2021-02-27
OP291545,2022-08-24,BA.5.5,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDPH-500068308,Severe acute respiratory syndrome-related coronavirus,29756,complete,,USA,,Homo sapiens,,2022-07-06
OP283063,2022-08-23,BA.5.1.25,4.3.1/1.23.1/v0.1.12/0.3.19,true,MO-CDC-LC0832241,Severe acute respiratory syndrome-related coronavirus,29720,complete,,USA: Missouri,MO,Homo sapiens,oronasopharynx,2022-08-07
OP437202,2022-09-15,BF.26,4.3.1/1.23.1/v0.1.12/0.3.19,true,CT-CDC-QDX40872297,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: Connecticut,CT,Homo sapiens,oronasopharynx,2022-08-29
OL950599,2021-12-20,AY.25.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,AZ-CDC-ASC210452825,Severe acute respiratory syndrome-related coronavirus,29809,complete,,USA: Arizona,AZ,Homo sapiens,,2021-11-08
OP513327,2022-09-23,BA.5.2.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,IN-CDC-QDX41237730,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: Indiana,IN,Homo sapiens,oronasopharynx,2022-09-09
OM447175,2022-01-31,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,TX-CDC-FG-242945,Severe acute respiratory syndrome-related coronavirus,29820,complete,,USA: Texas,TX,Homo sapiens,oronasopharynx,2022-01-15
OQ085438,2022-12-20,BQ.1.1.68,4.3.1/1.23.1/v0.1.12/0.3.19,true,UT-CDC-QDX44245095,Severe acute respiratory syndrome-related coronavirus,29715,complete,,USA: Utah,UT,Homo sapiens,oronasopharynx,2022-11-29
MZ416104,2021-06-21,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-STM-000074237,Severe acute respiratory syndrome-related coronavirus,29807,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2021-05-13
OP154949,2022-08-04,BF.10,4.3.1/1.23.1/v0.1.12/0.3.19,true,OH-CDC-QDX39080434,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: Ohio,OH,Homo sapiens,oronasopharynx,2022-07-15
MZ164715,2021-05-11,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-2-4306941,Severe acute respiratory syndrome-related coronavirus,29848,complete,,USA: FL,FL,Homo sapiens,oronasopharynx,2021-04-15
OM835520,2022-02-25,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,TX-CDC-ASC210854470,Severe acute respiratory syndrome-related coronavirus,29792,complete,,USA: Texas,TX,Homo sapiens,,2022-02-12
ON640306,2022-05-31,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CO-CDPHE-2103144791,Severe acute respiratory syndrome-related coronavirus,29746,complete,,USA,,Homo sapiens,,2022-01-04
OM661758,2022-02-12,BA.1.1.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,HI-CDC-QDX33164000,Severe acute respiratory syndrome-related coronavirus,29744,complete,,USA: Hawaii,HI,Homo sapiens,oronasopharynx,2022-01-22
OL947908,2021-12-20,AY.100,4.3.1/1.23.1/v0.1.12/0.3.19,true,MD-CDC-ASC210522839,Severe acute respiratory syndrome-related coronavirus,29823,complete,,USA: Maryland,MD,Homo sapiens,,2021-11-05
OP403639,2022-09-09,BA.4.1,4.3.1/1.23.1/v0.1.12/0.3.19,,DE-DHSS-B1214762,Severe acute respiratory syndrome-related coronavirus,29709,complete,,USA,,Homo sapiens,,2022-07-03
OM235847,2022-01-12,AY.34,4.3.1/1.23.1/v0.1.12/0.3.19,true,LA-CDC-STM-B79E3398M,Severe acute respiratory syndrome-related coronavirus,29867,complete,,USA: Louisiana,LA,Homo sapiens,oronasopharynx,2022-01-02
ON188617,2022-04-08,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,UT-UPHL-220326916031,Severe acute respiratory syndrome-related coronavirus,29781,complete,,USA,,Homo sapiens,,2022-01-24
MZ215512,2021-05-17,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,,TX-DSHS-6264,Severe acute respiratory syndrome-related coronavirus,29706,complete,,USA: Texas,TX,Homo sapiens,,2021-04-15
OL798784,2021-12-10,AY.25.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-FG-182880,Severe acute respiratory syndrome-related coronavirus,29812,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2021-12-01
OL797551,2021-12-10,AY.3,4.3.1/1.23.1/v0.1.12/0.3.19,true,MA-CDCBI-CRSP_GWY3QTXD6DYSEO3F,Severe acute respiratory syndrome-related coronavirus,29866,complete,,USA: Massachusetts,MA,Homo sapiens,,2021-11-29
ON874993,2022-06-29,BF.21,4.3.1/1.23.1/v0.1.12/0.3.19,true,NJ-CDC-QDX37977319,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: New Jersey,NJ,Homo sapiens,oronasopharynx,2022-06-11
OQ114703,2022-12-23,BQ.1.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-STM-6P55SV9VG,Severe acute respiratory syndrome-related coronavirus,29841,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-12-03
OM140115,2022-01-05,BA.1.15,4.3.1/1.23.1/v0.1.12/0.3.19,true,TX-CDC-STM-4MJ8RW2HX,Severe acute respiratory syndrome-related coronavirus,29870,complete,,USA: Texas,TX,Homo sapiens,oronasopharynx,2021-12-21
OP999742,2022-12-13,BA.5.2.59,4.3.1/1.23.1/v0.1.12/0.3.19,true,WA-CDC-UW22112692031,Severe acute respiratory syndrome-related coronavirus,29669,complete,,USA: Washington,WA,Homo sapiens,oronasopharynx,2022-11-26
OM464650,2022-02-01,BA.1.1.18,4.3.1/1.23.1/v0.1.12/0.3.19,true,PA-CDC-STM-UDQXYYVB6,Severe acute respiratory syndrome-related coronavirus,29873,complete,,USA: Pennsylvania,PA,Homo sapiens,oronasopharynx,2022-01-16
OP388093,2022-09-07,BA.5.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,NJ-CDC-LC0863045,Severe acute respiratory syndrome-related coronavirus,29657,complete,,USA: New Jersey,NJ,Homo sapiens,oronasopharynx,2022-08-26
OP078457,2022-07-27,BE.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,MI-CDC-STM-P5Q2U37KV,Severe acute respiratory syndrome-related coronavirus,29844,complete,,USA: Michigan,MI,Homo sapiens,oronasopharynx,2022-07-15
ON057800,2022-03-24,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-STM-3368BGJ3W,Severe acute respiratory syndrome-related coronavirus,29873,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-02-26
OL863679,2021-12-15,AY.44,4.3.1/1.23.1/v0.1.12/0.3.19,true,PA-CDC-STM-7C63VJAV5,Severe acute respiratory syndrome-related coronavirus,29890,complete,,USA: Pennsylvania,PA,Homo sapiens,oronasopharynx,2021-11-30
OQ186933,2023-01-06,BF.26,4.3.1/1.23.1/v0.1.12/0.3.19,true,OR-CDC-LC0973066,Severe acute respiratory syndrome-related coronavirus,29720,complete,,USA: Oregon,OR,Homo sapiens,oronasopharynx,2022-12-15
OP733335,2022-10-27,BF.10,4.3.1/1.23.1/v0.1.12/0.3.19,true,IN-CDC-STM-VKRASY46Q,Severe acute respiratory syndrome-related coronavirus,29804,complete,,USA: Indiana,IN,Homo sapiens,oronasopharynx,2022-10-10
OM125452,2022-01-04,AY.26,4.3.1/1.23.1/v0.1.12/0.3.19,true,AZ-CDC-ASC210633894,Severe acute respiratory syndrome-related coronavirus,29809,complete,,USA: Arizona,AZ,Homo sapiens,,2021-12-15
MW989945,2021-04-21,B.1.526,4.3.1/1.23.1/v0.1.12/0.3.19,true,NC-CDC-2-4173825,Severe acute respiratory syndrome-related coronavirus,29857,complete,,USA: NC,NC,Homo sapiens,oronasopharynx,2021-03-24
OP621780,2022-10-12,BA.5.6,4.3.1/1.23.1/v0.1.12/0.3.19,true,SC-CDC-QDX41999026,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: South Carolina,SC,Homo sapiens,oronasopharynx,2022-09-30
ON047541,2022-03-23,BA.2.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-ASC210734119,Severe acute respiratory syndrome-related coronavirus,29769,complete,,USA: California,CA,Homo sapiens,,2022-03-11
ON918061,2022-07-05,BA.5.2.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,SC-CDC-LC0727893,Severe acute respiratory syndrome-related coronavirus,29720,complete,,USA: South Carolina,SC,Homo sapiens,oronasopharynx,2022-06-22
OL884102,2021-12-17,AY.3,4.3.1/1.23.1/v0.1.12/0.3.19,true,MT-CDC-LC0417238,Severe acute respiratory syndrome-related coronavirus,29766,complete,,USA: Montana,MT,Homo sapiens,oronasopharynx,2021-12-03
OM835169,2022-02-25,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-ASC210554079,Severe acute respiratory syndrome-related coronavirus,29788,complete,,USA: California,CA,Homo sapiens,,2022-02-12
OP239744,2022-08-17,BA.5.5,4.3.1/1.23.1/v0.1.12/0.3.19,true,AZ-CDC-LC0821924,Severe acute respiratory syndrome-related coronavirus,29687,complete,,USA: Arizona,AZ,Homo sapiens,oronasopharynx,2022-08-01
ON084708,2022-03-28,BA.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,NY-CDC-QDX34884281,Severe acute respiratory syndrome-related coronavirus,29724,complete,,USA: New York,NY,Homo sapiens,oronasopharynx,2022-03-14
ON071154,2022-03-25,B.1.1.529,4.3.1/1.23.1/v0.1.12/0.3.19,true,UT-UPHL-220312084649,Severe acute respiratory syndrome-related coronavirus,29779,complete,,USA,,Homo sapiens,,2022-01-27
ON214963,2022-04-12,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDPH-6000007919,Severe acute respiratory syndrome-related coronavirus,29684,complete,,USA,,Homo sapiens,,2022-01-12
OM195993,2022-01-10,BA.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,NY-CDC-STM-K7RA6SS65,Severe acute respiratory syndrome-related coronavirus,29873,complete,,USA: New York,NY,Homo sapiens,oronasopharynx,2021-12-28
OP943183,2022-12-05,BQ.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,TX-CDC-STM-DDKUCNFUT,Severe acute respiratory syndrome-related coronavirus,29840,complete,,USA: Texas,TX,Homo sapiens,oronasopharynx,2022-11-18
ON537675,2022-05-18,BA.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-LC0618593,Severe acute respiratory syndrome-related coronavirus,29721,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-05-04
OP264710,2022-08-19,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,,VSP16137,Severe acute respiratory syndrome-related coronavirus,29751,complete,,USA: Pennsylvania,PA,Homo sapiens,,2022-06-19
ON363439,2022-04-27,BA.2.9,4.3.1/1.23.1/v0.1.12/0.3.19,true,NJ-CDC-QDX35916766,Severe acute respiratory syndrome-related coronavirus,29724,complete,,USA: New Jersey,NJ,Homo sapiens,oronasopharynx,2022-04-11
OM663220,2022-02-12,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-LACPHL-AF06349,Severe acute respiratory syndrome-related coronavirus,29766,complete,,"USA: California, Los Angees County",CA,Homo sapiens,,2021-12-28
OP416201,2022-09-12,BA.5.2.21,4.3.1/1.23.1/v0.1.12/0.3.19,true,MA-CDC-QDX40872091,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: Massachusetts,MA,Homo sapiens,oronasopharynx,2022-08-27
